Kelas,Hari,Masa,Subjek
5ART, KHAMIS, 12:00-12:30, MAT-ROS
5ART, KHAMIS, 12:30-1:00, MAT-ROS
5ART, KHAMIS, 1:00-1:30, PAM-SAI
5ART, JUMAAT, 7:45-8:15, MAT-ROS
5ART, JUMAAT, 8:15-8:45, MAT-ROS
5ART, JUMAAT, 8:45-9:15, TS-CHE
5ART, JUMAAT, 9:15-9:45, SN-ZIA
5ART, JUMAAT, 9:45-10:15, SN-ZIA
5ART, JUMAAT, 10:35-11:05, PSV-ALA
5ART, JUMAAT, 11:05-11:35, PSV-ALA
5ART, JUMAAT, 11:35-12:05, PSV-ALA
5DG, ISNIN, 7:40-8:10, PP-SGS
5DG, ISNIN, 8:10-8:40, BI-ITA
5DG, ISNIN, 8:40-9:10, BI-ITA
5DG, ISNIN, 9:10-9:40, PJ-FUL
5DG, ISNIN, 9:40-10:10, PJ-FUL
5DG, ISNIN, 10:10-10:40, PIA-HAI
5DG, ISNIN, 11:00-11:30, PRT-TUN
5DG, ISNIN, 11:30-12:00, PRT-TUN
5DG, ISNIN, 12:00-12:30, PRT-TUN
5DG, ISNIN, 12:30-1:00, PRT-TUN
5DG, ISNIN, 1:00-1:30, PRT-TUN
5DG, ISNIN, 1:30-2:00, BM-AIS
5DG, ISNIN, 2:00-2:30, BM-AIS
5DG, SELASA, 7:40-8:10, BM-AIS
5DG, SELASA, 8:10-8:40, BM-AIS
5DG, SELASA, 8:40-9:10, PRT-TUN
5DG, SELASA, 9:10-9:40, PRT-TUN
5DG, SELASA, 9:40-10:10, PRT-TUN
5DG, SELASA, 10:10-10:40, PRT-TUN
5DG, SELASA, 11:00-11:30, MAT-ROS
5DG, SELASA, 11:30-12:00, MAT-ROS
5DG, SELASA, 12:00-12:30, SEJ-ITI
5DG, SELASA, 12:30-1:00, SEJ-ITI
5DG, SELASA, 1:00-1:30, PIA-HAI
5DG, SELASA, 1:30-2:00, SN-ZIA
5DG, SELASA, 2:00-2:30, SN-ZIA
5DG, RABU, 7:40-8:10, MAT-ROS
5DG, RABU, 8:10-8:40, MAT-ROS
5DG, RABU, 8:40-9:10, SN-ZIA
5DG, RABU, 9:10-9:40, BM-AIS
5DG, RABU, 9:40-10:10, BM-AIS
5DG, RABU, 10:10-10:40, BM-AIS
5DG, RABU, 11:00-11:30, BI-ITA
5DG, RABU, 11:30-12:00, BI-ITA
5DG, RABU, 12:00-12:30, SN-ZIA
5DG, RABU, 12:30-1:00, SN-ZIA
5DG, KHAMIS, 7:40-8:10, PRT-TUN
5DG, KHAMIS, 8:10-8:40, PRT-TUN
5DG, KHAMIS, 8:40-9:10, PRT-TUN
5DG, KHAMIS, 9:10-9:40, PRT-TUN
5DG, KHAMIS, 9:40-10:10, BI-ITA
5DG, KHAMIS, 10:10-10:40, BI-ITA
5DG, KHAMIS, 11:00-11:30, MAT-ROS
5DG, KHAMIS, 11:30-12:00, MAT-ROS
5DG, KHAMIS, 12:00-12:30, PIA-HAI
5DG, KHAMIS, 12:30-1:00, PIA-HAI
5DG, KHAMIS, 1:00-1:30, PAM-HAI
5DG, KHAMIS, 1:30-2:00, PIA-HAI
5DG, JUMAAT, 7:45-8:15, SEJ-ITI
5DG, JUMAAT, 8:15-8:45, SEJ-ITI
5DG, JUMAAT, 8:45-9:15, SN-ZIA
5DG, JUMAAT, 9:15-9:45, PJ-FUL
5DG, JUMAAT, 9:45-10:15, PJ-FUL
5DG, JUMAAT, 10:35-11:05, PRT-TUN
5DG, JUMAAT, 11:05-11:35, PRT-TUN
5DG, JUMAAT, 11:35-12:05, PRT-TUN
5EN, ISNIN, 7:40-8:10, PP-SGS
5EN, ISNIN, 8:10-8:40, MAT-AWA
5EN, ISNIN, 8:40-9:10, MAT-AWA
5EN, ISNIN, 9:10-9:40, BM-NAZ
5EN, ISNIN, 9:40-10:10, BM-NAZ
5EN, ISNIN, 10:10-10:40, BM-NAZ
5EN, ISNIN, 11:00-11:30, FIZ-VIV
5EN, ISNIN, 11:30-12:00, FIZ-VIV
5EN, ISNIN, 12:00-12:30, FIZ-VIV
5EN, ISNIN, 12:30-1:00, PIA-SAI
5EN, ISNIN, 1:00-1:30, PIA-SAI
5EN, ISNIN, 1:30-2:00, GKT-ZAB
5EN, ISNIN, 2:00-2:30, GKT-ZAB
5EN, SELASA, 7:40-8:10, MAT-AWA
5EN, SELASA, 8:10-8:40, MAT-AWA
5EN, SELASA, 8:40-9:10, MAT-AWA
5EN, SELASA, 9:10-9:40, PJ-SOF
5EN, SELASA, 9:40-10:10, PJ-SOF
5EN, SELASA, 10:10-10:40, MT-ZUN
5EN, SELASA, 11:00-11:30, BI-JAN
5EN, SELASA, 11:30-12:00, BI-JAN
5EN, SELASA, 12:00-12:30, BM-NAZ
5EN, SELASA, 12:30-1:00, BM-NAZ
5EN, SELASA, 1:00-1:30, GKT-ZAB
5EN, SELASA, 1:30-2:00, GKT-ZAB
5EN, SELASA, 2:00-2:30, PIA-SAI
5EN, RABU, 7:40-8:10, BI-JAN
5EN, RABU, 8:10-8:40, BI-JAN
5EN, RABU, 8:40-9:10, MT-ZUN
5EN, RABU, 9:10-9:40, MT-ZUN
5EN, RABU, 9:40-10:10, BM-NAZ
5EN, RABU, 10:10-10:40, BM-NAZ
5EN, RABU, 11:00-11:30, SEJ-FIR
5EN, RABU, 11:30-12:00, SEJ-FIR
5EN, RABU, 12:00-12:30, KIM-MIZ
5EN, RABU, 12:30-1:00, KIM-MIZ
5EN, KHAMIS, 7:40-8:10, PIA-SAI
5EN, KHAMIS, 8:10-8:40, PIA-SAI
5EN, KHAMIS, 8:40-9:10, GKT-ZAB
5EN, KHAMIS, 9:10-9:40, GKT-ZAB
5EN, KHAMIS, 9:40-10:10, MT-ZUN
5EN, KHAMIS, 10:10-10:40, MT-ZUN
5EN, KHAMIS, 11:00-11:30, FIZ-VIV
5EN, KHAMIS, 11:30-12:00, FIZ-VIV
5EN, KHAMIS, 12:00-12:30, SEJ-FIR
5EN, KHAMIS, 12:30-1:00, SEJ-FIR
5EN, KHAMIS, 1:00-1:30, MAT-AWA
5EN, KHAMIS, 1:30-2:00, PAM-SAI
5EN, JUMAAT, 7:45-8:15, PJ-SOF
5EN, JUMAAT, 8:15-8:45, PJ-SOF
5EN, JUMAAT, 8:45-9:15, KIM-MIZ
5EN, JUMAAT, 9:15-9:45, KIM-MIZ
5EN, JUMAAT, 9:45-10:15, KIM-MIZ
5EN, JUMAAT, 10:35-11:05, PIA-SAI
5EN, JUMAAT, 11:05-11:35, PIA-SAI
5EN, JUMAAT, 11:35-12:05, MT-ZUN
5ET, ISNIN, 7:40-8:10, PP-SGS
5ET, ISNIN, 8:10-8:40, BM-AYA
5ET, ISNIN, 8:40-9:10, BM-AYA
5ET, ISNIN, 9:10-9:40, SN-ZIA
5ET, ISNIN, 9:40-10:10, SN-ZIA
5ET, ISNIN, 10:10-10:40, SN-ZIA
5ET, ISNIN, 11:00-11:30, BI-YUR
5ET, ISNIN, 11:30-12:00, BI-YUR
5ET, ISNIN, 12:00-12:30, PIA-NAI
5ET, ISNIN, 12:30-1:00, PIA-NAI
5ET, ISNIN, 1:00-1:30, EA-LAH
5ET, ISNIN, 1:30-2:00, EA-LAH
5ET, SELASA, 7:40-8:10, PJ-AYA
5ET, SELASA, 8:10-8:40, PJ-AYA
5ET, SELASA, 8:40-9:10, SEJ-FIR
5ET, SELASA, 9:10-9:40, SEJ-FIR
5ET, SELASA, 9:40-10:10, BI-YUR
5ET, SELASA, 10:10-10:40, BI-YUR
5ET, SELASA, 11:00-11:30, BM-AYA
5ET, SELASA, 11:30-12:00, BM-AYA
5ET, SELASA, 12:00-12:30, BM-AYA
5ET, SELASA, 12:30-1:00, SN-ZIA
5ET, SELASA, 1:00-1:30, PIA-NAI
5ET, SELASA, 1:30-2:00, BI-JAN
5ET, SELASA, 2:00-2:30, BI-JAN
5ET, RABU, 7:40-8:10, BI-YUR
5ET, RABU, 8:10-8:40, BI-YUR
5ET, RABU, 8:40-9:10, BM-AYA
5ET, RABU, 9:10-9:40, BM-AYA
5ET, RABU, 9:40-10:10, SRT-WAN
5ET, RABU, 10:10-10:40, SRT-WAN
5ET, RABU, 11:00-11:30, SRT-WAN
5ET, RABU, 11:30-12:00, MAT-AWA
5ET, RABU, 12:00-12:30, MAT-AWA
5ET, RABU, 12:30-1:00, MAT-AWA
5ET, KHAMIS, 7:40-8:10, PJ-AYA
5ET, KHAMIS, 8:10-8:40, PJ-AYA
5ET, KHAMIS, 8:40-9:10, EA-LAH
5ET, KHAMIS, 9:10-9:40, EA-LAH
5ET, KHAMIS, 9:40-10:10, SEJ-FIR
5ET, KHAMIS, 10:10-10:40, SEJ-FIR
5ET, KHAMIS, 11:00-11:30, SN-ZIA
5ET, KHAMIS, 11:30-12:00, SN-ZIA
5ET, KHAMIS, 12:00-12:30, PIA-NAI
5ET, KHAMIS, 12:30-1:00, PIA-NAI
5ET, KHAMIS, 1:00-1:30, PAM-NAI
5ET, JUMAAT, 7:45-8:15, EA-LAH
5ET, JUMAAT, 8:15-8:45, EA-LAH
5ET, JUMAAT, 8:45-9:15, SRT-WAN
5ET, JUMAAT, 9:15-9:45, SRT-WAN
5ET, JUMAAT, 9:45-10:15, SRT-WAN
5ET, JUMAAT, 10:35-11:05, MAT-AWA
5ET, JUMAAT, 11:05-11:35, MAT-AWA
5ET, JUMAAT, 11:35-12:05, MAT-AWA
5PV,ISNIN,7:40-8:10,PP-SGS
5PV,ISNIN,8:10-8:40,PEM-SAI
5PV,ISNIN,8:40-9:10,PEM-SAI
5PV,ISNIN,9:10-9:40,TMN-FAH
5PV,ISNIN,9:40-10:10,TMN-FAH
5PV,ISNIN,10:10-10:40,TMN-FAH
5PV,ISNIN,11:00-11:30,TMN-FAH
5PV,ISNIN,11:30-12:00,TMN-FAH
5PV,ISNIN,12:00-12:30,TMN-FAH
5PV,ISNIN,12:30-1:00,BI-YUR
5PV,ISNIN,1:00-1:30,MEM-SAF
5PV,ISNIN,2:00-2:30,MEM-SAF
5PV,SELASA,7:40-8:10,MEM-SAF
5PV,SELASA,8:10-8:40,MEM-SAF
5PV,SELASA,8:40-9:10,MEM-SAF
5PV,SELASA,9:10-9:40,TMN-MAR
5PV,SELASA,9:40-10:10,TMN-MAR
5PV,SELASA,10:10-10:40,TMN-MAR
5PV,SELASA,11:00-11:30,BM-FID
5PV,SELASA,11:30-12:00,BM-FID
5PV,SELASA,12:00-12:30,TMN-MAR
5PV,SELASA,12:30-1:00,TMN-MAR
5PV,SELASA,1:00-1:30,TMN-MAR
5PV,SELASA,1:30-2:00,PEM-SAI
5PV,RABU,7:40-8:10,TMN-MAR
5PV,RABU,8:10-8:40,TMN-MAR
5PV,RABU,8:40-9:10,BI-ITA
5PV,RABU,9:10-9:40,BI-ITA
5PV,RABU,9:40-10:10,BM-FID
5PV,RABU,10:10-10:40,BM-FID
5PV,RABU,11:00-11:30,SEJ-AIN
5PV,RABU,11:30-12:00,SEJ-AIN
5PV,RABU,12:00-12:30,TMN-MAR
5PV,RABU,12:30-1:00,TMN-MAR
5PV,RABU,1:00-1:30,TMN-MAR
5PV,RABU,1:30-2:00,PEM-SAI
5PV,RABU,2:00-2:30,PEM-SAI
5PV,KHAMIS,7:40-8:10,SEJ-AIN
5PV,KHAMIS,8:10-8:40,SEJ-AIN
5PV,KHAMIS,8:40-9:10,TMN-MAR
5PV,KHAMIS,9:10-9:40,TMN-MAR
5PV,KHAMIS,9:40-10:10,TMN-MAR
5PV,KHAMIS,10:10-10:40,TMN-MAR
5PV,KHAMIS,11:00-11:30,TMN-MAR
5PV,KHAMIS,11:30-12:00,TMN-MAR
5PV,KHAMIS,12:00-12:30,PEM-SAI
5PV,KHAMIS,12:30-1:00,PEM-SAI
5PV,KHAMIS,1:00-1:30,PAM-SAI
5PV,KHAMIS,1:30-2:00,TMN-MAR
5PV,KHAMIS,2:00-2:30,TMN-MAR
5PV,JUMAAT,7:45-8:15,BI-ITA
5PV,JUMAAT,8:15-8:45,BI-ITA
5PV,JUMAAT,8:45-9:15,TMN-MAR
5PV,JUMAAT,9:15-9:45,TMN-MAR
5PV,JUMAAT,9:45-10:15,TMN-MAR
5PV,JUMAAT,10:35-11:05,TMN-MAR
5PV,JUMAAT,11:05-11:35,BM-FID
5PV,JUMAAT,11:35-12:05,BM-FID
5TR, ISNIN, 7:40-8:10, PP-SGS
5TR, ISNIN, 8:10-8:40, PIA-HAI
5TR, ISNIN, 8:40-9:10, PIA-HAI
5TR, ISNIN, 9:10-9:40, PJ-SOF
5TR, ISNIN, 9:40-10:10, PJ-SOF
5TR, ISNIN, 10:10-10:40, BI-VUR
5TR, ISNIN, 11:00-11:30, MAT-ROS
5TR, ISNIN, 11:30-12:00, MAT-ROS
5TR, ISNIN, 12:00-12:30, BM-AVA
5TR, ISNIN, 12:30-1:00, BM-AVA
5TR, SELASA, 7:40-8:10, PNG-FAD
5TR, SELASA, 8:10-8:40, PNG-FAD
5TR, SELASA, 8:40-9:10, SN-ZIA
5TR, SELASA, 9:10-9:40, SN-ZIA
5TR, SELASA, 9:40-10:10, BM-AVA
5TR, SELASA, 10:10-10:40, BM-AVA
5TR, SELASA, 11:00-11:30, PNG-FAD
5TR, SELASA, 11:30-12:00, SEJ-AIN
5TR, SELASA, 12:00-12:30, SEJ-AIN
5TR, SELASA, 12:30-1:00, PSV-ALA
5TR, SELASA, 1:00-1:30, PSV-ALA
5TR, SELASA, 1:30-2:00, PSV-ALA
5TR, RABU, 7:40-8:10, PIA-HAI
5TR, RABU, 8:10-8:40, PIA-HAI
5TR, RABU, 8:40-9:10, PNG-FAD
5TR, RABU, 9:10-9:40, SN-ZIA
5TR, RABU, 9:40-10:10, SN-ZIA
5TR, RABU, 10:10-10:40, SN-ZIA
5TR, RABU, 11:00-11:30, MAT-ROS
5TR, RABU, 11:30-12:00, MAT-ROS
5TR, RABU, 12:00-12:30, BI-VUR
5TR, RABU, 12:30-1:00, BI-VUR
5TR, KHAMIS, 7:40-8:10, PSV-ALA
5TR, KHAMIS, 8:10-8:40, PSV-ALA
5TR, KHAMIS, 8:40-9:10, MAT-ROS
5TR, KHAMIS, 9:10-9:40, MAT-ROS
5TR, KHAMIS, 9:40-10:10, SEJ-AIN
5TR, KHAMIS, 10:10-10:40, SEJ-AIN
5TR, KHAMIS, 11:00-11:30, BI-VUR
5TR, KHAMIS, 11:30-12:00, BI-VUR
5TR, KHAMIS, 12:00-12:30, PNG-FAD
5TR, KHAMIS, 12:30-1:00, PNG-FAD
5TR, KHAMIS, 1:00-1:30, PAM-HAI
5TR, JUMAAT, 7:45-8:15, BM-AVA
5TR, JUMAAT, 8:15-8:45, BM-AVA
5TR, JUMAAT, 8:45-9:15, PJ-SOF
5TR, JUMAAT, 9:15-9:45, PJ-SOF
5TR, JUMAAT, 9:45-10:15, SN-ZIA
5TR, JUMAAT, 10:35-11:05, SN-ZIA
5TR, JUMAAT, 11:05-11:35, PNG-FAD
5TR, JUMAAT, 11:35-12:05, PNG-FAD
